YouTube,Series,Date,Unique event name,Guests,Title or name of stream
https://youtu.be/cKZIJQLhudk,Insights,12/14/2023,Insights #004,Inês Hipólito,"Markov Blankets, Modularity, Enactivism"
https://www.youtube.com/watch?v=rKrrpoVbwWQ,Roundtable,12/8/2023,Roundtable 2023.4,,2023 Quarterly Roundtable #4
https://www.youtube.com/watch?v=aC8GC15sqME,Insights,12/7/2023,Insights #003,John Vervaeke,"Relevance Realisation, Predictive Processing, Flow"
https://www.youtube.com/watch?v=HThdpvQzA4o,GuestStream,12/7/2023,GuestStream #067.1,Andrés Corrada,The logic of NTQR evaluations of noisy judges: Complete postulates and logically consistent error correlation
https://www.youtube.com/watch?v=eMtgUJl68jg,GuestStream,12/6/2023,GuestStream #065.1,Phoebe Klett,Towards Bayesian World Models
https://www.youtube.com/watch?v=rF3zyjv2Drw,GuestStream,12/6/2023,GuestStream #066.1,Adrian Bejan,The Physics of Life: How to Predict Evolution
https://www.youtube.com/watch?v=njbpi3YTMPY,Insights,11/30/2023,Insights #002,Mahault Albarracin,"Epistemic Communities, Social Scripts, AI"
https://www.youtube.com/watch?v=PQGoQYpyqUY,GuestStream,11/29/2023,GuestStream #064.1,Elliot Murphy,ROSE: A neurocomputational architecture for syntax
https://www.youtube.com/watch?v=N5H5I6cvcrQ,Insights,11/22/2023,Insights #001,Karl J Friston,"Free Energy, Time, Consciousness"
https://youtu.be/82jRowV0oqA,"Parr, Pezzulo, Friston 2022 Textbook",11/21/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 10 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/MMOsuWNoPSo,"Parr, Pezzulo, Friston 2022 Textbook",11/21/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 5 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=0CY0fTqtdHo,Livestream,11/21/2023,Livestream #056.2,Alexander Ororbia,"Four papers on Neural coding, Predictive processing, and Cognitive modeling."
https://www.youtube.com/watch?v=q8OIuyFXqQ0,OrgStream,11/20/2023,OrgStream #005.1,Anna-Marie Swan,Ecological organisations: reimagining our organisations and communities as radically responsible and responsive ecosystem members
https://www.youtube.com/watch?v=N7QSuazEEhE,Livestream,11/16/2023,Livestream #055.2,Magnus T Koudahl,"Realising Synthetic Active Inference Agents, Part I: Epistemic Objectives and Graphical Specification Language

Realising Synthetic Active Inference Agents, Part II: Variational Message Updates"
